,address,admin,age,anh,array,attribute,auth,authentication,authenticator,ban,br,bán,bạn,bằng,calendar,cart,category,character,charset,check,chi,chính,ch�?chọn,ch�?close,command,compile,con,confirm,connect,connection,connecttion,cons,content,context,cookie,cookies,có,cập,da,date,db,dd,del,delete,detail,diachi,digits,dispatcher,driver,dt,dùng,dạng,dịch,dọc,dụng,email,enable,encoding,err,execute,footer,format,forward,fraction,ft,ghi,gia,gio,gioitinh,giá,gi�?giới,gmail,hang,header,hh,hinh,history,host,hoặc,html,http,hàng,hãng,hình,hóa,h�?hợp,impl,index,insert,instance,integer,internet,invalidate,io,item,jdbc,jsp,khoản,khuyến,khôi,không,khẩu,kiếm,kiểm,kí,ký,length,li,loai,localhost,login,logout,loại,luong,lượng,lập,lịch,mail,manager,matcher,matches,matkhauwebbanhang,max,menu,mess,message,messaging,mime,minimum,mm,mo,mua,muốn,mysql,mãi,mật,mới,nf,ngay,ngaysinh,ngày,người,nhất,nhận,nhập,nhật,nh�?nào,obj,page,parameter,parse,password,passwordreset,patten,pattern,phù,phải,phẩm,phục,plain,port,post,prepare,prepared,product,properties,props,ps,quantity,query,recipient,recipients,redirect,register,remove,request,reset,resetpassword,response,role,root,rs,runtime,sai,samsung,sdt,search,select,send,serial,servlet,session,shop,shopping,simple,sinh,smtp,soluong,sql,ss,starttls,statement,strong,subject,sx,system,sđt,sản,s�?s�?ta,tdate,ten,text,thanh,thanhtoán,thong,thoại,thấy,th�?thống,tien,time,timestamp,tiết,tiền,total,toán,tra,trang,trangch�?transport,trình,tr�?tr�?type,tài,tên,tìm,tính,tôi,tại,tồn,tổng,uid,ul,update,url,utf,version,vnđ,v�?v�?webbanhang,xemthông,xuat,xuất,xác,yyyy,za,zip,ít,đang,điều,điện,đã,đóng,đăng,đăngký,đăngnhập,đăngxuất,đơn,đầy,đến,đ�?địa,định,đồng,đ�?ảnh,ứng,,,,,,,,,,,,,,,
LoginServlet,0,0,0.046805106,0,0.036981641,0.110944924,0,0,0,0,0,0,0,0,0,0.194370417,0,0,0,0,0,0.05662857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041058747,0.280830634,0,0,0,0,0,0,0,0,0,0,0,0,0.082117495,0,0,0,0,0,0,0,0,0,0,0.287411232,0,0,0,0.041058747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05662857,0,0.211874335,0,0,0,0,0,0,0.067638384,0.077748167,0,0,0,0,0,0.070624778,0,0,0.176561946,0,0,0,0.046805106,0.038874083,0,0,0,0,0.082117495,0,0,0,0.388436281,0,0,0,0,0,0,0,0,0,0,0,0.046805106,0,0,0,0,0,0,0,0,0,0,0,0,0.038874083,0,0,0,0,0,0,0,0,0.067638384,0,0,0,0,0,0.073963283,0,0.169095961,0,0,0,0,0.041058747,0,0,0,0,0.035312389,0,0,0,0,0,0,0,0,0,0,0.070624778,0,0,0.388436281,0,0,0.282499113,0,0,0,0,0,0,0,0,0,0.070624778,0.035312389,0.388436281,0.194370417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038874083,0,0,0,0,0,0,0.035312389,0,0,0.16423499,0,0.035312389,0,0,0,0,0,0,0,0.05662857,0,0,0,0,0,0,0,0,0,0.038874083,0,0,0,0,0.043642657,0,0,0,0,0,0.043642657,0,0
LogoutServlet,0,0,0.065370742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065370742,0,0.78444891,0.316363065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065370742,0.123298359,0,0,0,0,0,0,0,0.054293814,0,0,0,0,0.039545383,0.049319344,0,0,0.049319344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246596718,0.118636149,0,0,0,0,0,0,0,0,0,0,0.065370742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024659672,0,0,0,0,0,0,0,0,0,0,0.049319344,0,0,0.172617703,0,0,0.246596718,0,0,0,0,0,0,0,0,0,0.049319344,0.024659672,0.246596718,0.027146907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065370742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065370742,0,0,0,0,0,0,0,0,0.024659672,0,0,0,0,0.024659672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Product,0,0,0,0.359535537,0,0,0,0,0,0.335243041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335243041,0,0,0,0,0,0,0.335243041,0,0,0.359535537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259783654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103913462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259783654,0,0,0,0.359535537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359535537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProductDAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114211542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208889705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940003674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126802994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208889705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProductDAOImpl,0,0,0,0.185893238,0.033894907,0,0,0,0,0.173333114,0,0,0,0,0,0,0.090386419,0,0,0,0,0,0,0,0,0.066666582,0,0,0.199999747,0,0.062719518,0.062719518,0.062719518,0,0,0,0,0,0,0,0.017300657,0,0.062719518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666582,0,0,0,0,0,0,0.173333114,0,0,0,0,0,0,0.173333114,0,0,0.185893238,0,0,0,0,0,0,0,0,0,0,0,0.041328556,0,0.013333316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268635613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666582,0.133333165,0.39262128,0,0,0.22666638,0,0.053333266,0,0,0,0,0,0,0,0,0,0,0,0.479999393,0,0,0,0,0.012543904,0.079999899,0,0,0,0,0,0,0,0,0,0,0.19418989,0,0,0.199999747,0,0,0,0.012543904,0,0,0,0,0,0,0.278967752,0,0,0,0.185893238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010332139,0,0,0,0,0,0,0,0,0.185893238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RegisterServlet,0,0,0.03718678,0,0.029382011,0.058764023,0,0,0,0,0,0,0,0,0,0.154427808,0,0.074373559,0,0.034674205,0,0,0,0,0,0,0,0.040426051,0,0,0,0,0,0,0,0.032621283,0.223120678,0,0,0,0,0.097863849,0,0.03718678,0,0,0,0.123542246,0,0.065242566,0,0,0,0.040426051,0,0,0,0.161216623,0,0.074373559,0.260970263,0,0,0.03718678,0.032621283,0,0,0,0,0,0.092656685,0,0,0,0,0,0,0,0,0,0,0,0,0.168334717,0,0,0,0,0,0,0.053738874,0.030885562,0,0,0,0,0,0.056111572,0,0,0.112223144,0.034674205,0,0,0,0,0,0,0,0,0.065242566,0,0,0,0.112223144,0,0,0,0,0,0,0,0,0.161704205,0.040426051,0,0.03718678,0,0,0,0,0,0,0.03718678,0,0,0,0,0,0,0,0,0,0.123542246,0,0,0,0,0.026869437,0,0,0,0.161704205,0,0.205674079,0.065242566,0.134347186,0,0.080852102,0.080852102,0,0.032621283,0,0,0,0,0.028055786,0,0,0,0,0,0,0,0,0,0,0.056111572,0.223120678,0,0.476948364,0,0,0.252502075,0,0,0,0,0.040426051,0,0.123542246,0,0,0.056111572,0.028055786,0.308613647,0.123542246,0,0,0.03718678,0,0,0,0.056111572,0,0,0,0,0,0,0.032621283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03718678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034674205,0,0,0,0,0.040426051,0.040426051,0,0.028055786,0,0,0.097863849,0.065242566,0.028055786,0,0,0,0,0,0,0,0,0.03718678,0.202130256,0,0,0,0,0,0.040426051,0,0,0,0,0,0,0.034674205,0,0,0,0.040426051,0,0.034674205,0,0
ResetPassword,0.074708295,0,0,0,0,0.054298649,0.037354147,0.112062442,0.037354147,0,0.04157272,0,0,0,0,0,0,0,0.074708295,0.032039374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068722045,0.03014245,0,0,0,0,0,0,0,0,0,0,0,0.028538623,0,0.060284899,0,0,0,0,0,0,0,0.074483029,0.037354147,0,0.210997147,0,0,0,0.03014245,0,0,0,0,0,0.028538623,0,0,0,0.074708295,0,0.037354147,0,0,0,0.037354147,0,0.034361022,0.129619384,0,0,0,0,0,0,0.049655353,0,0,0.037354147,0,0.074708295,0,0.051847753,0,0,0.103695507,0,0,0,0.034361022,0.028538623,0,0.04157272,0,0,0.060284899,0,0,0,0.025923877,0,0,0,0,0,0,0.373541474,0,0,0,0.037354147,0,0,0.12471816,0.373541474,0.037354147,0.037354147,0,0,0,0,0,0,0,0.028538623,0.04157272,0,0,0.028538623,0,0,0,0.04157272,0.049655353,0,0,0,0,0,0.027149324,0.03014245,0.27310444,0.08314544,0,0,0,0.03014245,0,0,0.037354147,0.037354147,0.025923877,0,0,0,0.074708295,0.224124884,0,0,0,0.037354147,0.037354147,0.025923877,0,0,0.259238767,0.207863601,0.112062442,0.15554326,0.032039374,0,0,0.037354147,0,0,0.028538623,0,0,0.051847753,0.025923877,0.207391014,0.11415449,0,0,0,0,0.186770737,0,0,0,0.037354147,0,0.149416589,0.112062442,0,0,0,0,0,0,0,0,0,0.274888179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04157272,0,0,0.037354147,0,0,0,0.068722045,0,0.028538623,0,0,0,0.037354147,0.037354147,0,0.025923877,0,0.024827676,0.120569798,0.060284899,0.025923877,0,0,0,0.037354147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028538623,0,0,0,0,0.032039374,0,0.04157272,0,0,0,0.032039374,0,0
SearchServlet,0,0,0,0,0,0.047840833,0,0,0,0,0,0,0,0,0,0,0,0.121097666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053115129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106230259,0,0,0,0,0,0,0,0,0,0.121097666,0.265575647,0,0,0,0.053115129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228407128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091362851,0,0,0.091362851,0,0,0,0,0,0.047840833,0,0,0,0.053115129,0,0.131249311,0,0.045681426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073256834,0,0.04374977,0,0,0,0,0.06582313,0.095681665,0,0,0,0,0,0,0.053115129,0,0,0,0,0.045681426,0,0,0,0,0,0,0,0,0,0,0.045681426,0,0,0.502495681,0,0,0.319769979,0,0,0,0,0,0,0,0.212460517,0,0.045681426,0.045681426,0.502495681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262498621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047840833,0,0,0,0,0,0.045681426,0,0,0.106230259,0.106230259,0.045681426,0,0,0,0,0,0,0,0,0,0,0,0.073256834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UpdateUser,0,0,0,0,0,0.028965494,0,0,0,0,0,0,0,0,0,0,0,0.073319246,0,0,0,0,0,0,0,0,0,0.07970595,0,0,0,0,0,0,0,0.032158846,0,0,0,0,0,0.096476539,0,0.036659623,0,0,0,0.121790921,0,0.064317692,0,0,0,0.07970595,0,0,0,0.158931229,0,0.073319246,0.25727077,0,0,0.036659623,0.032158846,0,0,0,0,0,0.091343191,0,0,0,0,0,0,0,0,0,0,0,0,0.138290348,0,0,0,0,0,0,0.052977076,0.03044773,0,0,0.039852975,0,0,0.055316139,0,0,0.110632278,0,0,0,0,0,0,0,0,0,0.064317692,0,0,0,0,0,0,0,0,0,0,0,0,0.318823798,0.07970595,0,0,0,0,0,0,0,0,0.036659623,0,0,0,0,0,0,0,0,0,0.121790921,0,0,0,0,0.026488538,0,0,0,0.318823798,0,0.231723955,0.096476539,0.105954153,0,0.159411899,0.159411899,0,0.032158846,0,0,0,0,0.02765807,0,0,0,0,0,0,0,0,0,0,0.02765807,0.036659623,0,0.470187182,0,0,0.193606487,0,0,0,0,0.07970595,0,0.152238652,0,0,0.02765807,0.02765807,0.221264556,0,0,0,0.036659623,0,0,0,0.055316139,0,0,0,0,0,0,0,0.044353751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036659623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02765807,0,0.158931229,0.128635385,0.064317692,0.02765807,0,0,0,0,0,0,0,0,0.036659623,0.199264874,0,0,0,0,0,0,0,0,0,0,0,0,0.034182667,0,0,0,0.07970595,0,0.034182667,0,0
User,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158726125,0,0,0,0,0,0.375701466,0,0,0,0,0,0,0,0,0,0.326848094,0,0,0,0,0,0,0,0,0,0,0,0,0.375701466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375701466,0,0,0,0,0,0,0,0,0,0,0,0,0.326848094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421787695,0,0,0,0,0,0.375701466,0,0,0,0,0,0,0,0,0,0,0,0,0.136511683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UserDAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591761608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478809445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458562817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458562817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UserDAOImpl,0,0.106911254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041197324,0,0,0,0,0,0.102993311,0,0,0.308979933,0,0.096895484,0.096895484,0.096895484,0,0,0,0,0,0,0,0,0.077516388,0.096895484,0,0,0,0,0.110087815,0,0,0,0,0,0,0,0,0,0.095772829,0,0,0,0.102993311,0,0,0,0,0,0,0,0,0.110087815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063848553,0,0.020598662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110087815,0,0,0,0,0,0,0,0,0,0,0,0,0.143659244,0,0,0,0,0,0,0,0,0,0,0.102993311,0.205986622,0,0,0,0.638558529,0,0.061795987,0,0,0,0,0,0,0,0,0,0.123591973,0,0.308979933,0,0,0,0.110087815,0,0.061795987,0,0,0,0,0,0,0,0,0,0,0.250003563,0,0,0.308979933,0,0,0,0.038758194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063848553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cart(jsp),0,0,0,0,0,0,0,0,0,0,0,0.155599993,0,0,0,0.11887862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125559416,0.23775724,0,0,0,0,0,0,0,0,0,0,0,0.226182901,0,0.155599993,0.173172604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113091451,0,0,0,0,0,0,0,0,0,0,0,0.155599993,0,0.346345208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113091451,0,0,0,0,0,0,0.103420545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113091451,0.133461122,0.346345208,0,0,0,0,0,0.346345208,0,0,0,0,0,0,0,0,0,0.173172604,0,0,0,0,0.11887862,0,0,0,0,0,0,0,0.113091451,0,0,0,0,0.311199987,0,0,0,0,0,0,0.339274352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125559416,0.155599993,0,0,0,0,0,0,0,0.155599993,0
category(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457098819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628912025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628912025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detail(jsp),0,0,0,0,0,0,0,0,0,0,0,0.129042059,0,0,0,0,0,0,0,0,0.430846086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129042059,0,0,0,0,0,0,0.143615362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104128832,0.09858832,0,0,0,0,0,0,0,0,0,0,0,0.093788909,0.110681868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187577818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129042059,0,0,0,0,0,0,0,0,0,0,0,0,0.281366727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375155636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430846086,0,0,0,0,0,0.197176639,0,0,0,0,0,0,0,0.187577818,0,0,0,0,0,0,0,0,0,0,0,0.093788909,0,0,0,0.143615362,0,0.287230724,0,0,0,0,0,0.143615362,0,0,0,0.143615362,0.09858832,0.110681868,0.110681868,0,0,0,0,0,0,0,0,0,0,0
footer(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553391
history(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341281464,0,0,0,0,0,0,0.170640732,0,0,0,0,0.324667429,0,0.223351321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162333714,0,0,0,0,0,0,0,0,0,0,0,0.223351321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191572745,0,0,0,0,0,0,0,0,0.205454555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324667429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324667429,0.191572745,0,0,0,0,0,0.18023048,0,0,0,0,0,0,0,0,0,0,0,0,0.223351321,0,0,0.170640732,0,0,0,0,0,0,0,0.162333714,0,0,0,0,0,0,0,0,0,0,0,0.162333714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223351321,0,0,0,0,0.18023048,0,0,0,0,0,0,0,0,0.223351321,0
index(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120944267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58556654,0.092401595,0,0,0,0,0,0,0,0,0,0,0,0.087903363,0.207472471,0,0,0,0,0,0.092401595,0,0,0,0,0,0,0,0,0,0,0.222506413,0,0,0,0.175806725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222506413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175806725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222506413,0,0,0.175806725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120944267,0.18480319,0,0,0.222506413,0,0,0,0,0.175806725,0,0,0,0,0,0,0,0,0,0,0,0.35161345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103736236,0.103736236,0.097594423,0,0,0.222506413,0,0,0,0,0,0,0
