,access,address,allowed,append,application,array,assignable,attribute,base,binder,binding,birth,body,cache,city,clazz,clinic,cm,collection,collections,column,columns,comp,comparator,configuration,controller,crash,create,creation,creator,customizer,data,date,definition,demonstration,description,details,disallowed,dog,duplicate,edit,empty,enabled,entity,error,errors,exception,exists,expected,field,fields,form,formatter,found,framework,happened,hash,home,ignore,info,information,input,integer,internal,inverse,iterator,join,label,layout,length,linked,list,load,local,locale,lower,manager,map,mav,message,model,mutable,named,navigation,nr,obj,object,owner,owners,package,parse,path,person,petclinic,pets,populate,previous,process,property,redirect,reject,repository,required,resources,response,results,run,runtime,save,select,selections,serializable,service,showcase,sort,sorted,specialties,specialty,specs,spring,statistics,string,supports,telephone,template,text,thrown,toggle,trigger,type,types,unmodifiable,update,utils,valid,validate,validator,variable,vet,veterinarians,vets,view,views,visit,visits,web,zip
vetList(html),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390970048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518945557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464332324,0.601858309,0,0,0,0,0,0,0
welcome(html),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BaseEntity,0,0,0,0,0,0,0,0,0.508643134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433870745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682671173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294954926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CacheConfiguration,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667138207,0,0,0,0.166784552,0,0,0,0,0,0,0.667138207,0,0,0.055288274,0,0,0.166784552,0,0,0,0,0,0,0,0,0,0,0,0.083392276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083392276,0,0,0,0,0.064816541,0,0,0,0,0.122240763,0,0,0,0,0,0,0.083392276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083392276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064816541,0,0,0,0,0,0
CrashController,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485753869,0.465648132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511928553,0,0.232824066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232824066,0,0,0,0,0,0.232824066,0,0,0,0,0,0,0,0.118780996,0,0,0,0,0.232824066,0,0.232824066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NamedEntity,0,0,0,0,0,0,0,0,0.211669354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541659571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423338709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69468362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owner,0,0.338494501,0,0.3387249,0,0.0376105,0,0,0,0,0,0,0,0,0.338494501,0,0,0,0,0.040235446,0,0,0.193557086,0.040235446,0,0,0,0,0,0.048389271,0,0,0,0.040235446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040235446,0,0.096778543,0,0,0,0,0.177328817,0,0,0,0,0,0,0,0.113341978,0,0,0,0.096778543,0,0,0,0,0,0.0376105,0,0,0,0,0,0.07911107,0,0,0,0,0.040235446,0,0.491137297,0,0,0,0.040235446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080470891,0.120706337,0,0,0,0,0,0.394991873,0,0.338494501,0,0,0,0,0,0,0,0.040235446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OwnerController,0,0,0.024270014,0,0,0,0,0.026923873,0,0.067161211,0.067161211,0,0,0,0,0,0.041853093,0,0.018724261,0,0,0,0,0,0,0.056172782,0,0.107101608,0.048540027,0,0,0.059199633,0,0,0,0,0.024270014,0.02238707,0,0,0,0.026923873,0,0,0,0.041853093,0,0,0,0,0.044774141,0.224691127,0,0.048540027,0,0,0,0,0,0,0,0,0,0.019733211,0,0.026923873,0,0,0,0,0,0.015765917,0,0,0,0,0,0.062779639,0.080771619,0,0.251118555,0,0,0,0,0,0.078932844,0.777643097,0.321304823,0,0,0.044774141,0,0,0.017079352,0,0,0.067161211,0,0.067161211,0.02238707,0.065558975,0,0,0,0.134619365,0,0,0.037448521,0,0.026923873,0,0.048540027,0,0,0,0,0,0,0,0,0.137358844,0,0,0,0,0,0,0,0,0,0,0.149794085,0,0.044774141,0,0,0.044774141,0,0,0,0.080771619,0.121350068,0.034158704,0.112345564,0.02238707,0
OwnerRepository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151581289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303162577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83146392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398046982,0,0,0,0,0,0,0.151581289,0,0,0,0,0,0,0,0,0,0,0,0,0.111198145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
package-info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0,0,0,0,0.214099162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182625807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458083523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843189688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pet,0,0,0,0,0,0.042021192,0,0,0,0,0,0.277374549,0,0,0,0,0,0,0.03759893,0.044953972,0,0,0,0.044953972,0,0,0,0,0,0,0,0,0.394283162,0.044953972,0,0,0,0,0,0,0,0,0,0.035843924,0,0,0,0,0,0,0,0,0,0,0,0,0.134861917,0,0,0,0,0,0,0.158499742,0,0,0,0,0,0,0.108128041,0.126633918,0,0.146204952,0,0,0,0,0,0,0,0.042021192,0.042021192,0,0,0,0,0.294628841,0,0,0,0,0,0,0,0,0,0,0.044953972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089907944,0.134861917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329111433,0,0.044953972,0,0,0,0,0,0,0,0,0,0,0,0.342958989,0.563983948,0,0
PetClinicApplication,0,0,0,0,0.824963305,0,0,0,0,0,0,0,0,0,0,0,0.480901265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206240826,0,0,0,0,0,0,0,0,0,0,0,0,0.185911873,0,0.105218894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PetController,0,0,0,0,0,0,0,0,0,0.276282311,0.069070578,0,0,0,0,0,0,0,0.028884876,0,0,0,0,0,0,0.086654627,0,0.165219695,0.074880001,0,0,0.182647965,0,0,0,0,0,0.034535289,0,0.041533962,0,0,0,0,0,0.064564439,0,0.041533962,0,0,0.034535289,0.288848757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037440001,0,0,0,0,0,0,0,0.129128877,0,0,0.387386632,0,0,0,0,0,0,0.49795828,0.192756311,0,0,0.069070578,0,0,0.368863128,0.041533962,0,0.069070578,0,0.069070578,0.034535289,0.101134185,0,0,0,0,0,0,0.057769751,0,0,0,0,0,0,0,0,0,0,0,0,0.127137511,0,0,0,0,0,0,0,0.025283546,0.064564439,0,0.231079006,0.037440001,0.069070578,0,0.074880001,0.069070578,0,0,0,0,0.187200003,0,0,0.069070578,0
PetRepository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523067345,0,0,0,0,0,0,0,0,0.220212609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686777966,0,0,0,0,0,0,0.261533672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228925989,0.292294399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PetType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417152614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489043834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76604166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PetTypeFormatter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057934789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122113171,0,0,0,0,0,0.333220932,0.075093919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333220932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249915699,0,0,0,0.264226358,0,0,0,0,0,0,0.101423107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085000479,0,0,0,0.249915699,0,0,0,0.709961747,0.194246661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PetValidator,0,0,0,0,0,0,0.093851167,0,0,0,0,0.137571953,0,0,0,0.187702335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124444836,0,0,0,0,0,0,0,0,0,0,0,0,0.364728506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084600351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187702335,0.068785977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234110378,0,0.750809338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143641532,0.093851167,0,0,0,0,0,0,0.114262653,0,0,0,0.084600351,0,0.093851167,0.253801054,0,0,0,0,0,0,0,0,0,0
Specialty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308391404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361538942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41930259,0,0,0,0,0,0.773543582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vet,0,0,0,0,0,0.050126151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053624601,0.064491776,0.064491776,0,0.053624601,0,0,0,0,0,0,0,0,0,0.053624601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053624601,0,0,0,0,0,0,0.236338552,0.064491776,0,0.128983552,0,0,0,0,0.151058804,0,0,0,0,0,0,0,0,0,0.050126151,0,0,0.064491776,0,0,0,0,0,0,0,0.053624601,0,0,0,0,0,0.053624601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107249201,0.160873802,0.701766121,0.536246006,0.193475328,0,0,0,0,0,0,0,0,0,0,0,0,0.053624601,0,0,0,0,0,0,0.089701866,0,0,0,0,0,0,0,0
VetController,0,0,0,0,0,0,0,0,0,0,0,0,0.063166269,0,0,0,0.098191806,0,0,0,0,0,0,0,0,0.13178732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184942594,0,0,0,0,0,0.049095903,0,0,0.098191806,0,0,0,0,0,0.046296212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076904163,0,0.063166269,0.063166269,0,0,0,0,0,0,0,0.113880066,0,0,0,0,0,0,0,0,0.064451691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439291065,0,0.834630348,0,0,0,0,0,0
VetRepository,0.241540998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186348333,0,0,0,0,0,0,0,0,0,0,0,0,0.196389651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196389651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186348333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489343984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745393332,0,0,0,0,0,0,0,0
Vets,0,0,0,0,0,0.136990159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412829812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367720418,0,0.821940957,0,0,0,0,0,0
Visit,0,0,0,0,0,0,0,0,0.071777042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734706672,0,0,0.502439294,0,0,0,0,0,0,0,0.061225556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192669926,0,0,0,0,0,0,0,0,0,0,0.332979893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141340258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175744052,0,0,0
VisitController,0,0,0.055070166,0,0,0,0,0,0,0.152392954,0.050797651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127459526,0,0.08100673,0,0,0,0.13432764,0,0,0,0,0,0.050797651,0,0,0,0,0,0,0,0.047483631,0,0,0,0,0.101595303,0.169946035,0,0,0,0,0,0,0,0,0,0,0,0.04477588,0,0,0,0,0,0,0,0,0.061091938,0,0,0,0,0.094967263,0,0,0.142450894,0,0,0,0,0,0.08955176,0.033292838,0.040503365,0,0,0.101595303,0,0,0.271278759,0,0,0.050797651,0,0.050797651,0,0.14875738,0,0,0,0,0,0,0.042486509,0,0,0,0,0,0,0,0,0,0,0,0,0.124670294,0,0,0,0,0,0,0,0,0,0,0.084973017,0,0.050797651,0,0,0.101595303,0,0,0,0,0,0.775082168,0.29740556,0.050797651,0
VisitRepository,0.19016537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154617687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154617687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293424305,0,0,0,0,0,0,0,0,0.123532337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385260806,0,0,0,0,0,0,0.146712152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802941759,0,0,0
WelcomeController,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93883774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344359837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owners(table),0,0.473768437,0,0,0,0,0,0,0,0,0,0,0,0,0.473768437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404122756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473768437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404122756
