,account,action,actions,adding,addr,address,adjust,amend,american,application,array,arrays,attempted,attempting,attr,attribute,authenticated,backordered,banner,bannerdata,bannername,banneropt,bean,bill,billaddr,billcity,billcountry,billing,billstate,billtofirstname,billtolastname,billzip,birds,bottom,breeds,browse,browser,browsing,button,ca,calculate,card,cardtype,cart,catalog,categories,category,catid,cats,change,check,checking,checkout,choose,city,click,clicking,collections,column,common,complete,confirm,confirmation,confirmed,contents,context,copyright,correct,cost,country,courier,created,credit,creditcard,database,date,decimal,demo,deployed,descn,describes,description,details,display,displays,dogs,edit,email,empty,enable,english,enter,error,exception,exotic,expiry,exprdate,express,failed,fakenumber,favcategory,favorite,favorites,favourite,fields,filled,filling,filter,firstname,fish,fo,form,forward,found,freshwater,hash,hierarchically,http,identifier,identify,include,increment,index,inf,information,insert,installation,instructions,integer,invalid,invalidate,inventory,issues,itemid,items,iterator,japanese,jsp,key,keyword,keywords,langpref,language,languages,lastname,left,length,line,lineitem,linenum,link,listprice,lizards,locale,log,logging,lower,map,mapper,master,menu,message,messages,middle,mm,multiply,mybatis,mylistopt,nextid,nullable,object,occurred,online,option,optional,orderdate,orderid,ordernum,orderstatus,organized,page,parameter,parse,password,payment,perform,pet,pets,phone,picture,preference,press,price,prices,proceed,processing,productid,products,profile,property,provide,provided,qty,quantities,quantity,read,real,redirect,redirected,reduce,register,registering,remove,removing,repeat,representing,reptiles,request,requested,requesting,required,requires,resolution,resulting,returned,reviewing,runtime,saltwater,scope,screen,search,searching,section,select,selecting,send,sequence,serial,serializable,service,servlet,session,ship,shipaddr,shipcity,shipcountry,shipping,shipstate,shiptofirstname,shiptolastname,shipzip,shop,shopping,sign,signed,signin,signing,signoff,signon,signup,simple,snakes,split,status,stock,store,stores,stream,submit,submitted,summary,suppid,supplier,text,thenpress,time,timestamp,total,totalprice,trim,turtles,type,types,typing,uid,unavailable,unit,unitcost,unitprice,unmodifiable,update,updated,updating,ups,user,userid,username,varieties,version,view,visa,visual,web,yyyy
CatalogActionBean,0,0.055547445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052106095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030221876,0,0,0,0,0,0.340169878,0,0.65544248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023929947,0.021619479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263229412,0,0,0,0,0,0,0,0,0,0,0.113389959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226779918,0,0.329251837,0,0,0,0,0,0,0.027437653,0,0,0,0,0,0,0,0,0,0.027437653,0,0,0,0,0.022677992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030221876,0,0,0,0,0,0.095719786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263229412,0,0,0,0,0,0,0,0.158745943,0,0,0,0,0,0,0.016386062,0,0.165620432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016386062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016386062,0.239299465,0,0,0.113389959,0
CatalogService,0,0,0,0,0,0,0,0,0,0,0.042178369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11269884,0,0.542872931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039640153,0,0,0,0,0,0,0,0.090901396,0.090901396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045450698,0,0.797461604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11892046,0,0,0,0,0,0,0.027143647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07513256,0,0,0,0,0,0,0,0,0.102881853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050062787,0,0.032954191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Category,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758626471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621269474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075862647,0.085722778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117882567,0,0,0,0,0.075862647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075862647,0,0,0,0,0
CategoryMapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951633819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307234559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864569678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207995847,0,0,0,0,0,0,0,0.16895488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160936952,0,0,0,0,0,0,0,0,0,0,0,0.142425426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020346489,0.022990993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160936952,0,0,0,0,0,0,0,0,0.221314118,0,0,0,0,0,0,0.031616303,0,0,0,0,0.020346489,0,0.238484356,0,0,0,0,0,0,0,0,0,0,0,0.020346489,0,0,0,0,0
ItemMapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598304698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28350145,0.462938735,0,0,0,0,0,0,0,0,0,0,0,0.343002787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40968992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248695399,0,0,0,0,0,0,0,0,0,0,0,0,0
LineItem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21849705,0,0,0.214036295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270890935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632078849,0,0,0,0,0,0,0,0,0,0.090296978,0,0,0,0,0,0,0,0.050691461,0,0,0,0.050691461,0,0,0,0,0.050691461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294897744,0,0,0,0,0,0,0,0,0,0,0,0.326221981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032622198,0.036862218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316844137,0,0,0,0,0,0,0.032622198,0,0.327745576,0,0.109248525,0,0,0,0,0,0,0,0,0,0.032622198,0,0,0,0,0
LineItemMapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124914674,0,0,0,0,0,0,0,0,0.130447201,0,0,0,0,0,0,0,0,0,0,0,0,0.957838236,0,0,0,0,0,0,0,0,0,0,0.223440743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Order,0.105448672,0,0,0,0,0.233745898,0,0,0,0,0.008624007,0,0,0,0,0,0,0,0,0,0,0,0,0.655110138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010236096,0,0.129680487,0,0.072826882,0,0,0,0,0,0,0,0,0,0,0.116872949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121283714,0.068992057,0,0.074344675,0,0,0.162100608,0.023042987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068992057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020472192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073224793,0.008624007,0,0,0,0,0,0,0,0,0,0,0,0.176662899,0,0,0,0,0,0.074344675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05017019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00554993,0.006271274,0,0,0,0.594757402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05017019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060641857,0,0,0,0.064840243,0,0,0.00554993,0,0,0,0,0,0,0,0,0.010236096,0,0,0.054620161,0,0.00554993,0,0.009293084,0,0,0
OrderActionBean,0.296589367,0.28726124,0.0945951,0,0,0.165230519,0,0,0.026048524,0,0,0.023648775,0,0.026048524,0,0.085733145,0.023648775,0,0,0,0,0,0.419166909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103127246,0,0.200771742,0,0,0,0,0,0,0.023648775,0.026048524,0,0,0,0,0,0.021946126,0,0,0,0.070946325,0,0.234436713,0,0.082501797,0,0,0,0,0,0.023648775,0.023648775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074536142,0,0,0,0,0.026048524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053531186,0.206254493,0.026048524,0,0,0,0.087784505,0,0,0,0,0,0.097731888,0,0.017843729,0,0,0,0,0,0,0,0,0,0,0,0.195463776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026048524,0,0.097731888,0,0,0,0,0,0,0,0,0,0.026048524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026048524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087784505,0,0,0.23648775,0,0.28875629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014123303,0,0.089218644,0,0.332288419,0,0,0,0,0.254102909,0,0,0,0,0,0,0.043892252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026048524,0,0,0,0,0,0,0,0,0,0,0,0.061876348,0.026048524,0,0.014123303,0,0,0,0,0.023648775,0,0,0,0,0,0,0.061775921,0,0.014123303,0.123752696,0.023648775,0,0.097731888,0
OrderMapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603133157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539426297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269713149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522019619,0,0,0,0,0,0,0
OrderService,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030151275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021568974,0.027373556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027373556,0,0,0,0,0,0.071622132,0,0,0,0.082616764,0,0,0.027373556,0,0,0.047748088,0,0,0.107844871,0,0,0,0,0,0,0,0,0,0,0,0,0.543000335,0,0,0,0,0,0,0,0,0,0.045250028,0.646539616,0,0,0,0,0,0,0,0,0,0,0,0.082120668,0,0,0,0,0,0,0.030151275,0,0,0,0.054747112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065391131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030151275,0,0.030151275,0,0,0,0,0,0,0,0,0,0.477480878,0,0,0.061962573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01847256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03969459,0,0,0,0,0,0.071505887,0,0,0,0,0,0,0
Product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631791386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739141663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090255912,0.101986785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140248185,0,0,0,0,0.090255912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090255912,0,0,0,0,0
ProductMapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537864797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450314044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607772944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372197221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942669136,0.161373479,0.182347748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161373479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161373479,0,0,0,0,0
SequenceMapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168760023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981478931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090659601,0,0,0,0,0,0,0,0,0,0,0,0,0
Cart(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390692337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844552439,0,0,0,0,0,0,0,0,0.093991711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093991711,0,0,0,0,0,0,0,0,0,0,0,0,0.07529678,0,0,0,0,0,0,0.118705066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089074301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072726161,0,0.107769232,0,0,0,0,0,0,0,0,0,0.064360946,0,0,0,0,0,0,0,0.093991711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100010135,0,0,0,0,0,0,0,0,0,0,0,0.156276935,0,0,0,0,0,0,0,0,0,0,0,0,0.156276935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Category(jsp),0,0.391847339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367571081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693551404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479930843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Checkout(jsp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412600797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817585592,0,0,0,0,0,0,0,0,0.198524779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099262389,0,0,0,0,0,0,0,0,0,0,0,0,0.079519122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076804353,0,0,0,0,0,0,0,0,0,0,0,0.135940101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105618302,0,0,0,0,0,0,0,0,0,0,0,0.165040319,0,0,0,0,0,0.12536157,0,0,0,0,0,0,0.165040319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
