,ConfirmServlet,HistoryDAO,HistoryDAOImpl,history(jsp),history(table),History,LoginServlet,RegisterServlet,ResetPassword,UpdateUser,UserDAO,UserDAOImpl,login(jsp),LogoutServlet,User,register(jsp),resetpassword(jsp),update_user(jsp),user(table),cart(jsp),GioHangServlet,Cart,category(jsp),category(table),SearchServlet,CategoryDAO,CategoryDAOImpl,ProductDAO,ProductDAOImpl,detail(jsp),Category,Product,product(jsp),product(table),search_menu(jsp),search_page(jsp),index(jsp),DBConnect,footer(jsp)
user(table),0.8180127900433669,0.485863546129711,0.8429881830926138,0.8429881830926138,0.8429881830926138,0.8429881830926138,0.6067469137260105,0.8005507917435991,0.6411329882997843,0.46156211801887964,0.0,0.505050505050505,0.6067469137260105,0.6082183211607651,0.505050505050505,0.8005507917435991,0.8520741319123977,0.46156211801887964,0.505050505050505,0.4427137456870356,0.47793097395224365,0.6952389982122881,0.8393127863443032,0.8393127863443032,0.4051301018702527,0.42694077577474454,0.8393127863443032,0.2993795812215506,0.6565042181844534,0.43537623178228285,0.8393127863443032,0.6565042181844534,0.5519048337468031,0.6565042181844534,0.4051301018702527,0.3555522640496745,0.8363295715129958,0.7335213697599144,0.8092021367951036
cart(jsp),0.4978657202562402,0.49700352225299566,0.49700352225299566,0.49700352225299566,0.49700352225299566,0.49700352225299566,0.4369178863678579,0.42930624394141387,0.45065450200360724,0.44871845857343634,0.4427137456870356,0.4427137456870356,0.4369178863678579,0.45652887283371774,0.4427137456870356,0.42930624394141387,0.494949494949495,0.44871845857343634,0.4427137456870356,0.5050505050505051,0.963963129111002,0.35712463696290275,0.4426460623062452,0.4426460623062452,0.46401095713525314,0.4426460623062452,0.4426460623062452,0.47132837393179305,0.7238536264570455,0.49410565409652435,0.4426460623062452,0.7238536264570455,0.47132837393179305,0.7238536264570455,0.46401095713525314,0.4428586743944759,0.4687535936205692,0.7390433839523346,0.6755704794523261
GioHangServlet,0.46760089883177,0.4846149028227909,0.4846149028227909,0.4846149028227909,0.4846149028227909,0.4846149028227909,0.4269666091344281,0.4342202057263328,0.41976136742299947,0.4699796730022217,0.47793097395224365,0.47793097395224365,0.4269666091344281,0.41666422841976847,0.47793097395224365,0.4342202057263328,0.494949494949495,0.4699796730022217,0.47793097395224365,0.963963129111002,0.5050505050505052,0.8160372610233998,0.49906491560943933,0.49906491560943933,0.4636406649970147,0.49906491560943933,0.49906491560943933,0.5227006419345636,0.7752258944598162,0.5121311544319819,0.49906491560943933,0.7752258944598162,0.5227006419345636,0.7752258944598162,0.4636406649970147,0.4630476283323957,0.4745237052866904,0.6061433335906938,0.6919563249412901
Cart,0.854990357219143,0.49700352225299566,0.8541281592158984,0.8541281592158984,0.8541281592158984,0.8541281592158984,0.4369178863678579,0.42930624394141387,0.45065450200360724,0.44871845857343634,0.4427137456870356,0.6952389982122881,0.4369178863678579,0.45652887283371774,0.6952389982122881,0.42930624394141387,0.494949494949495,0.44871845857343634,0.6952389982122881,0.35712463696290275,0.8160372610233998,0.505050505050505,0.6488320675910244,0.6488320675910244,0.46401095713525314,0.4426460623062452,0.6488320675910244,0.47132837393179305,0.8284530108946957,0.49410565409652435,0.6488320675910244,0.8284530108946957,0.7238536264570455,0.8284530108946957,0.46401095713525314,0.4428586743944759,0.6749395989053484,0.8436427683899849,0.7801698638899763
category(jsp),0.8071586308576322,0.43526870961558234,0.726859754660848,0.726859754660848,0.726859754660848,0.726859754660848,0.7561711802965047,0.7457227510384684,0.7769001784045916,0.7321563194087152,0.42694077577474454,0.8393127863443032,0.7561711802965047,0.7968977781147839,0.8393127863443032,0.7457227510384684,0.7865405399947605,0.7321563194087152,0.8393127863443032,0.4426460623062452,0.49906491560943933,0.6488320675910244,0.5050505050505052,0.5050505050505052,0.7268688005572638,0.0,0.5050505050505052,0.3576571589656416,0.7950437265335399,0.7483876258070964,0.5050505050505052,0.7950437265335399,0.7700291695352003,0.7950437265335399,0.7268688005572638,0.7148759566117192,0.9164123437845796,0.9264892416092424,0.9264639477609004
category(table),0.8071586308576322,0.43526870961558234,0.726859754660848,0.726859754660848,0.726859754660848,0.726859754660848,0.7561711802965047,0.7457227510384684,0.7769001784045916,0.7321563194087152,0.42694077577474454,0.8393127863443032,0.7561711802965047,0.7968977781147839,0.8393127863443032,0.7457227510384684,0.7865405399947605,0.7321563194087152,0.8393127863443032,0.4426460623062452,0.49906491560943933,0.6488320675910244,0.5050505050505052,0.5050505050505052,0.7268688005572638,0.0,0.5050505050505052,0.3576571589656416,0.7950437265335399,0.7483876258070964,0.5050505050505052,0.7950437265335399,0.7700291695352003,0.7950437265335399,0.7268688005572638,0.7148759566117192,0.9164123437845796,0.9264892416092424,0.9264639477609004
SearchServlet,0.41648651114936036,0.47504244014597485,0.47504244014597485,0.47504244014597485,0.47504244014597485,0.47504244014597485,0.41296120901113587,0.4480473295248311,0.4224210340406872,0.39962529774010075,0.4051301018702527,0.4051301018702527,0.41296120901113587,0.4076242533571217,0.4051301018702527,0.4480473295248311,0.494949494949495,0.39962529774010075,0.4051301018702527,0.46401095713525314,0.4636406649970147,0.46401095713525314,0.7268688005572638,0.7268688005572638,0.5050505050505052,0.4352777555119982,0.7268688005572638,0.4653217775215969,0.7178470300468494,0.9636907602300931,0.7268688005572638,0.7178470300468494,0.8224464144844996,0.7178470300468494,0.5050505050505052,0.6126577472835019,0.7255149041179959,0.6889632317839565,0.717401085309209
CategoryDAO,0.5155675858123667,0.43526870961558234,0.43526870961558234,0.43526870961558234,0.43526870961558234,0.43526870961558234,0.4645801352512391,0.4541317059932028,0.48530913335932596,0.4405652743634496,0.42694077577474454,0.42694077577474454,0.4645801352512391,0.5053067330695183,0.42694077577474454,0.4541317059932028,0.494949494949495,0.4405652743634496,0.42694077577474454,0.4426460623062452,0.49906491560943933,0.4426460623062452,0.0,0.0,0.4352777555119982,0.0,0.0,0.3576571589656416,0.3576571589656416,0.4567965807618307,0.0,0.3576571589656416,0.3576571589656416,0.3576571589656416,0.4352777555119982,0.42328491156645365,0.4113618387340745,0.48910267404134394,0.48907738019300195
CategoryDAOImpl,0.8071586308576322,0.43526870961558234,0.726859754660848,0.726859754660848,0.726859754660848,0.726859754660848,0.7561711802965047,0.7457227510384684,0.7769001784045916,0.7321563194087152,0.42694077577474454,0.8393127863443032,0.7561711802965047,0.7968977781147839,0.8393127863443032,0.7457227510384684,0.7865405399947605,0.7321563194087152,0.8393127863443032,0.4426460623062452,0.49906491560943933,0.6488320675910244,0.5050505050505052,0.5050505050505052,0.7268688005572638,0.0,0.5050505050505052,0.3576571589656416,0.7950437265335399,0.7483876258070964,0.5050505050505052,0.7950437265335399,0.7700291695352003,0.7950437265335399,0.7268688005572638,0.7148759566117192,0.9164123437845796,0.9264892416092424,0.9264639477609004
ProductDAO,0.4878410760498553,0.46637708834825975,0.46637708834825975,0.46637708834825975,0.46637708834825975,0.46637708834825975,0.43837708249165336,0.4886936828012709,0.45991620414406686,0.3255967360043583,0.2993795812215506,0.2993795812215506,0.43837708249165336,0.4501504086361657,0.2993795812215506,0.4886936828012709,0.494949494949495,0.3255967360043583,0.2993795812215506,0.47132837393179305,0.5227006419345636,0.47132837393179305,0.3576571589656416,0.3576571589656416,0.4653217775215969,0.3576571589656416,0.3576571589656416,1.1214373986112693e-16,1.1214373986112693e-16,0.4194624548382174,0.3576571589656416,1.1214373986112693e-16,1.1214373986112693e-16,1.1214373986112693e-16,0.4653217775215969,0.453107611092728,0.4171932957208424,0.42046071526482115,0.48452451892947884
ProductDAOImpl,0.7403663285751078,0.46637708834825975,0.7189023408735123,0.7189023408735123,0.7189023408735123,0.7189023408735123,0.6909023350169059,0.7412189353265234,0.7124414566693195,0.5781219885296108,0.2993795812215506,0.6565042181844534,0.6909023350169059,0.7026756611614182,0.6565042181844534,0.7412189353265234,0.7474747474747475,0.5781219885296108,0.6565042181844534,0.7238536264570455,0.7752258944598162,0.8284530108946957,0.7950437265335399,0.7950437265335399,0.7178470300468494,0.3576571589656416,0.7950437265335399,1.1214373986112693e-16,0.5050505050505052,0.67198770736347,0.7950437265335399,0.5050505050505052,0.35712463696290286,0.5050505050505052,0.7178470300468494,0.7056328636179805,0.8545798632887408,0.9255112203153262,0.9895750239799839
detail(jsp),0.42985766688790206,0.40859242462615364,0.40859242462615364,0.40859242462615364,0.40859242462615364,0.40859242462615364,0.45433455528012806,0.47489872741534195,0.4521862524412942,0.3966202670773832,0.43537623178228285,0.43537623178228285,0.45433455528012806,0.44226845556250405,0.43537623178228285,0.47489872741534195,0.494949494949495,0.3966202670773832,0.43537623178228285,0.49410565409652435,0.5121311544319819,0.49410565409652435,0.7483876258070964,0.7483876258070964,0.9636907602300931,0.4567965807618307,0.7483876258070964,0.4194624548382174,0.67198770736347,0.5050505050505051,0.7483876258070964,0.67198770736347,0.7765870918011202,0.67198770736347,0.9636907602300931,0.9091548246137284,0.7647168593069561,0.7427549268626372,0.7399868947952262
Category,0.8071586308576322,0.43526870961558234,0.726859754660848,0.726859754660848,0.726859754660848,0.726859754660848,0.7561711802965047,0.7457227510384684,0.7769001784045916,0.7321563194087152,0.42694077577474454,0.8393127863443032,0.7561711802965047,0.7968977781147839,0.8393127863443032,0.7457227510384684,0.7865405399947605,0.7321563194087152,0.8393127863443032,0.4426460623062452,0.49906491560943933,0.6488320675910244,0.5050505050505052,0.5050505050505052,0.7268688005572638,0.0,0.5050505050505052,0.3576571589656416,0.7950437265335399,0.7483876258070964,0.5050505050505052,0.7950437265335399,0.7700291695352003,0.7950437265335399,0.7268688005572638,0.7148759566117192,0.9164123437845796,0.9264892416092424,0.9264639477609004
Product,0.7403663285751078,0.46637708834825975,0.7189023408735123,0.7189023408735123,0.7189023408735123,0.7189023408735123,0.6909023350169059,0.7412189353265234,0.7124414566693195,0.5781219885296108,0.2993795812215506,0.6565042181844534,0.6909023350169059,0.7026756611614182,0.6565042181844534,0.7412189353265234,0.7474747474747475,0.5781219885296108,0.6565042181844534,0.7238536264570455,0.7752258944598162,0.8284530108946957,0.7950437265335399,0.7950437265335399,0.7178470300468494,0.3576571589656416,0.7950437265335399,1.1214373986112693e-16,0.5050505050505052,0.67198770736347,0.7950437265335399,0.5050505050505052,0.35712463696290286,0.5050505050505052,0.7178470300468494,0.7056328636179805,0.8545798632887408,0.9255112203153262,0.9895750239799839
product(jsp),0.8449657130127581,0.46637708834825975,0.8235017253111625,0.8235017253111625,0.8235017253111625,0.8235017253111625,0.43837708249165336,0.4886936828012709,0.45991620414406686,0.3255967360043583,0.2993795812215506,0.5519048337468031,0.43837708249165336,0.4501504086361657,0.5519048337468031,0.4886936828012709,0.494949494949495,0.3255967360043583,0.5519048337468031,0.47132837393179305,0.5227006419345636,0.7238536264570455,0.7700291695352003,0.7700291695352003,0.8224464144844996,0.3576571589656416,0.7700291695352003,1.1214373986112693e-16,0.35712463696290286,0.7765870918011202,0.7700291695352003,0.35712463696290286,0.5050505050505051,0.35712463696290286,0.8224464144844996,0.8102322480556308,0.829565306290401,0.777585352227724,0.8416491558923817
product(table),0.7403663285751078,0.46637708834825975,0.7189023408735123,0.7189023408735123,0.7189023408735123,0.7189023408735123,0.6909023350169059,0.7412189353265234,0.7124414566693195,0.5781219885296108,0.2993795812215506,0.6565042181844534,0.6909023350169059,0.7026756611614182,0.6565042181844534,0.7412189353265234,0.7474747474747475,0.5781219885296108,0.6565042181844534,0.7238536264570455,0.7752258944598162,0.8284530108946957,0.7950437265335399,0.7950437265335399,0.7178470300468494,0.3576571589656416,0.7950437265335399,1.1214373986112693e-16,0.5050505050505052,0.67198770736347,0.7950437265335399,0.5050505050505052,0.35712463696290286,0.5050505050505052,0.7178470300468494,0.7056328636179805,0.8545798632887408,0.9255112203153262,0.9895750239799839
search_menu(jsp),0.41648651114936036,0.47504244014597485,0.47504244014597485,0.47504244014597485,0.47504244014597485,0.47504244014597485,0.41296120901113587,0.4480473295248311,0.4224210340406872,0.39962529774010075,0.4051301018702527,0.4051301018702527,0.41296120901113587,0.4076242533571217,0.4051301018702527,0.4480473295248311,0.494949494949495,0.39962529774010075,0.4051301018702527,0.46401095713525314,0.4636406649970147,0.46401095713525314,0.7268688005572638,0.7268688005572638,0.5050505050505052,0.4352777555119982,0.7268688005572638,0.4653217775215969,0.7178470300468494,0.9636907602300931,0.7268688005572638,0.7178470300468494,0.8224464144844996,0.7178470300468494,0.5050505050505052,0.6126577472835019,0.7255149041179959,0.6889632317839565,0.717401085309209
search_page(jsp),0.4358662288074395,0.46082818491602817,0.46082818491602817,0.46082818491602817,0.46082818491602817,0.46082818491602817,0.3566063856347022,0.4156099504503087,0.37756855404260675,0.34015769866855744,0.3555522640496745,0.3555522640496745,0.3566063856347022,0.35660223185354695,0.3555522640496745,0.4156099504503087,0.494949494949495,0.34015769866855744,0.3555522640496745,0.4428586743944759,0.4630476283323957,0.4428586743944759,0.7148759566117192,0.7148759566117192,0.6126577472835019,0.42328491156645365,0.7148759566117192,0.453107611092728,0.7056328636179805,0.9091548246137284,0.7148759566117192,0.7056328636179805,0.8102322480556308,0.7056328636179805,0.6126577472835019,0.5050505050505051,0.6952945094227897,0.7002241923077182,0.6863020349927832
index(jsp),0.7831456274877447,0.46583677499265425,0.7574278200379199,0.7574278200379199,0.7574278200379199,0.7574278200379199,0.7337544602048054,0.7384310710886072,0.7289731347163314,0.7005654095412782,0.4239575609434372,0.8363295715129958,0.7337544602048054,0.7058587800343186,0.8363295715129958,0.7384310710886072,0.7865405399947605,0.7005654095412782,0.8363295715129958,0.4687535936205692,0.4745237052866904,0.6749395989053484,0.9164123437845796,0.9164123437845796,0.7255149041179959,0.4113618387340745,0.9164123437845796,0.4171932957208424,0.8545798632887408,0.7647168593069561,0.9164123437845796,0.8545798632887408,0.829565306290401,0.8545798632887408,0.7255149041179959,0.6952945094227897,0.5050505050505052,0.8693232361615333,0.890894682979005
DBConnect,0.7021732911098778,0.49965709902928435,0.7521823515545369,0.7521823515545369,0.7521823515545369,0.7521823515545369,0.6475339424953165,0.6432057537595057,0.636227848210141,0.6224158693673402,0.37639673279701163,0.7335213697599144,0.6475339424953165,0.644010078908505,0.7335213697599144,0.6432057537595057,0.7474747474747475,0.6224158693673402,0.7335213697599144,0.7390433839523346,0.6061433335906938,0.8436427683899849,0.9264892416092424,0.9264892416092424,0.6889632317839565,0.48910267404134394,0.9264892416092424,0.42046071526482115,0.9255112203153262,0.7427549268626372,0.9264892416092424,0.9255112203153262,0.777585352227724,0.9255112203153262,0.6889632317839565,0.7002241923077182,0.8693232361615333,0.5050505050505051,0.9069403994340796
